2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_signals | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.tools.interpretation_tool | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.tools.measure_tool | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.ui.pages.drillhole_page | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_axes_manager | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_optimizer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_layer_factory | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_legend_renderer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_renderer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:42 | DEBUG    | SecInterp.sec_interp.sec_interp_plugin | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
