DHID,De_m,A_m,RockCode1,Lith1,RockCode2_sw,Lith2_sw
MURALLA-03,434,438,Sk / Kuc,layers de Skarn en la Fm Caracol,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,438,441.5,Sk,skarn; Fm Caracol; iterestratificaci¢n,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,441.5,454,Kuc,Fm. Caracol; capas de limon-areni-caliz,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,454,456,Sk / Kuc,layers de Skarn en la Fm Caracol,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,456,460,Sk,skarn; Fm Caracol; iterestratificaci¢n,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,460,511.6,Kuc,Fm. Caracol; capas de limon-areni-caliz,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-03,511.6,526.39,Sk,skarn; Fm Caracol; iterestratificaci¢n,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,0,8.5,PGH,,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,8.5,9.5,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,9.5,11.4,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,11.4,11.5,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,11.5,13.5,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,13.5,29.75,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,29.75,29.85,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,29.85,33.55,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,33.55,33.8,PGH,hornbl-qtz-plag-felds-biot porphyry,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,33.8,48.2,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,48.2,57,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,57,60.1,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,60.1,63,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,63,71.8,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,71.8,82,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,82,93.3,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,93.3,95.2,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,95.2,98.45,Ho,hornfels-Fm Kui; grant-serc-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,98.45,111,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
