DHID,De_m,A_m,RockCode1,Lith1,RockCode2_sw,Lith2_sw
MURALLA-02,113.9,121.2,Bx,brecha con frag-hornfels y mx-sedimentaria ,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,121.2,332.3,Ho,horfels-Fm Indidura?,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,332.3,332.45,Ho,horfels-Fm Indidura?,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,332.45,342.2,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,342.2,343,Ho,horfels-Fm Indidura?,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,343,346.4,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,346.4,352.25,Ho,horfels-intercalado-PGH- py-cpy-escapolite,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,352.25,364.3,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,0,2,Sk,skarn; Fm Indidura; gran-escap,Qac,Alluvium-colluvium
MURALLA-03,2,73.4,Sk,skarn; Fm Indidura; gran-escap,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,73.4,76.5,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,76.5,79.1,Sk,skarn; Fm Indidura; gran-escap,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,79.1,87.27,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,87.27,91.38,Sk,skarn; Fm Indidura; gran-escap,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,91.38,102,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,102,156.6,Sk,skarn; Fm Indidura; gran-escap,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,156.6,168.5,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,168.5,172.2,Sk,skarn; Fm Indidura; gran-escap,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-03,172.2,175,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
